Property Address,Reference#,Mo,Yr,Price,Inst,Area,$/SF,YrBlt,GarType,Gar#,BR,FB,HB,BB,BH,C/A,FP,Bsmt,%Fin,Land SF,Zone,Exterior1,Style,Type
2712 NORTHRIDGE CIR,05-33-128-070,09,2010,211000,WRD,1555,135.69,1993,Attachd,2,3,2,0,1,0,Yes,1,1529,58,11534,RL,VinylSd,1-Story,1FamDet
2801 BRISTOL DR,05-33-213-030,06,2010,222000,New,1478,150.20,2009,Attachd,2,2,2,1,1,0,Yes,1,1470,39,4403,F-VR,MetalSd,1-Story,1FamDet
2426 BRISTOL DR,05-33-238-015,03,2011,216900,WRD,1457,148.87,2009,Attachd,2,2,2,0,0,0,Yes,1,1456,0,7051,F-VR,VinylSd,1-Story,1FamDet
2515 CAMDEN DR,05-33-241-020,01,2011,238000,WRD,1622,146.73,1998,Detachd,2,3,2,0,1,0,Yes,2,1622,76,7967,F-VR,VinylSd,1-Story,1FamDet
2419 CAMDEN DR,05-33-242-040,05,2011,255000,WRD,1562,163.25,1997,Detachd,2,2,2,0,1,0,Yes,1,1562,93,7180,F-VR,VinylSd,1-Story,1FamDet
2807 TORREY PINES RD,05-33-252-150,05,2011,175000,WRD,1386,126.26,1977,Attachd,1,3,1,0,1,0,Yes,1,689,100,9900,RL,Plywood,1-Story,1FamDet
2853 TORREY PINES RD,05-33-252-210,11,2010,214300,WRD,1810,118.40,1977,Attachd,2,2,2,0,0,0,Yes,1,1810,0,12136,RL,Plywood,1-Story,1FamDet
1701 AMHERST DR,05-33-350-120,06,2011,290000,WRD,1671,173.55,1976,Attachd,2,3,3,0,1,0,Yes,1,1426,100,16280,RL,VinylSd,1-Story,1FamDet
2718 CLEVELAND DR,05-34-126-020,02,2011,163000,WRD,1349,120.83,1968,Attachd,2,3,2,0,1,0,Yes,1,921,55,10400,RL,Plywood,1-Story,1FamDet
2724 CLEVELAND DR,05-34-126-030,02,2011,160000,WRD,1752,91.32,1969,Attachd,2,3,2,0,0,0,Yes,1,759,48,11700,RL,MetalSd,1-Story,1FamDet
