Property Address,Reference#,Mo,Yr,Price,Inst,Area,$/SF,YrBlt,GarType,Gar#,BR,FB,HB,BB,BH,C/A,FP,Bsmt,%Fin,Land SF,Zone,Exterior1,Style,Type,Assessed
5322 CERVANTES DR,09-07-181-140,04,2011,202000,WRD,1790,112.85,1999,Attachd,2,3,2,1,1,0,Yes,0,873,71,9179,RL,VinylSd,2-Story,1FamDet,
5230 THACKERAY DR,09-07-185-040,06,2011,196000,WRD,1740,112.64,1997,Attachd,2,3,2,1,0,1,Yes,1,1005,84,8750,RL,VinylSd,2-Story,1FamDet,
5218 THACKERAY DR,09-07-185-060,06,2010,200500,WRD,1682,119.20,1998,Attachd,2,3,2,1,0,0,Yes,0,804,63,8750,RL,VinylSd,2-Story,1FamDet,
5308 CLEMENS BLVD,09-07-194-050,02,2011,197000,WRD,1754,112.31,2001,Attachd,2,3,2,1,0,0,Yes,0,854,0,9268,RL,VinylSd,2-Story,1FamDet,
4825 HEMINGWAY DR,09-07-252-130,07,2010,274500,WRD,2333,117.66,2001,Attachd,2,4,2,1,1,0,Yes,1,1148,80,11470,RL,VinylSd,2-Story,1FamDet,
4934 HEMINGWAY DR,09-07-253-030,01,2011,264000,WRD,2452,107.67,2001,BuiltIn,3,4,2,1,0,0,Yes,1,1230,0,10000,RL,VinylSd,2-Story,1FamDet,
521 BROWN CT,09-07-255-020,08,2010,282000,WRD,2263,124.61,2001,BuiltIn,2,3,2,1,0,0,Yes,1,1055,0,9240,RL,VinylSd,2-Story,1FamDet,
4728 CLEMENS BLVD,09-07-270-030,06,2011,216000,WRD,2039,105.93,1999,BuiltIn,3,3,2,1,1,0,Yes,0,1088,73,11613,RL,VinylSd,2-Story,1FamDet,
4530 WEBSTER ST,09-07-295-080,02,2011,163000,WRD,1637,99.57,2000,BuiltIn,2,3,2,1,0,0,Yes,0,800,25,9100,RL,VinylSd,2-Story,1FamDet,
715 POE AVE,09-07-410-120,10,2010,237000,WRD,2022,117.21,2004,Attachd,3,3,2,1,0,0,Yes,1,986,0,10200,RL,VinylSd,2-Story,1FamDet,
4919 WALLER ST,09-07-412-010,06,2011,196000,WRD,1720,113.95,2004,Attachd,2,3,2,1,0,0,Yes,0,860,0,11645,RL,VinylSd,2-Story,1FamDet,
834 POE AVE,09-07-418-060,04,2011,181000,WRD,1456,124.31,2005,Attachd,2,3,2,1,1,0,Yes,1,728,73,11902,RL,VinylSd,2-Story,1FamDet,
914 POE AVE,09-07-420-100,05,2011,174000,WRD,1456,119.51,2005,Attachd,2,3,2,1,0,0,Yes,0,728,0,8909,RL,VinylSd,2-Story,1FamDet,
4140 COCHRANE PKY,09-08-154-170,08,2010,120000,New,3672,32.68,2010,BuiltIn,3,4,3,0,1,1,Yes,2,2410,93,31467,RL,CemntBd,2-Story,1FamDet,
1014 ASH AVE,09-09-425-210,07,2011,150000,WRD,1389,107.99,1977,Attachd,2,3,2,0,0,0,Yes,1,416,0,13828,RL,Plywood,1.5 Fin,1FamDet,
322 TOPAZ CT,09-14-465-020,09,2010,240000,COD,2052,116.96,2000,BuiltIn,3,3,2,1,0,0,Yes,1,1107,63,10125,RL,CemntBd,2-Story,1FamDet,
311 TOPAZ CT,09-14-465-070,07,2011,250000,WRD,2287,109.31,2001,Attachd,2,4,2,1,0,0,Yes,1,1176,0,13884,RL,VinylSd,2-Story,1FamDet,
2216 TIMBERLAND RD,09-16-176-025,07,2011,354000,WRD,3475,101.87,1959,Attachd,2,5,4,0,0,0,Yes,2,1243,59,31192,RL,Wd Sdng,1.5 Fin,1FamDet,
3108 COTTONTAIL LN,09-16-386-120,04,2011,285000,WRD,1768,161.20,2010,BuiltIn,3,3,2,1,1,0,Yes,1,790,92,9697,F-PRD,VinylSd,2-Story,1FamDet,
2612 WOODVIEW DR,09-16-400-210,03,2011,175000,WRD,2402,72.86,1965,Basment,2,4,2,0,0,0,Yes,1,942,0,36155,RL,Wd Sdng,2-Story,1FamDet,
424 KEN MARIL RD,09-23-400-140,08,2010,145000,WRD,1287,112.67,1992,Detachd,2,3,1,1,0,0,Yes,0,624,65,10464,RL,VinylSd,2-Story,1FamDet,
