Year,month,inflation,unemployment
1963,Jan,0.0010976948408341857,5.7
1963,Feb,0.0010964912280702688,5.9
1963,Mar,0.0010952902519166957,5.7
1963,Apr,0,5.7
1963,May,0,5.9
1963,Jun,0.004362050163576943,5.6
1963,Jul,0.004343105320303925,5.6
1963,Aug,0,5.4
1963,Sep,0,5.5
1963,Oct,0.0010845986984816542,5.5
1963,Nov,0.0010834236186348246,5.7
1963,Dec,0.002162162162162193,5.5
1964,Jan,0.0010799136069113858,5.6
1964,Feb,-0.0010810810810810197,5.4
1964,Mar,0.0010799136069113858,5.4
1964,Apr,0.0010787486515642774,5.3
1964,May,0,5.1
1964,Jun,0.002152852529601753,5.2
1964,Jul,0.0021482277121373647,4.9
1964,Aug,-0.00107526881720424,5
1964,Sep,0.0021459227467811462,5.1
1964,Oct,0.0010718113612003678,5.1
1964,Nov,0.0021390374331551106,4.8
1964,Dec,0.0010683760683760078,5
1965,Jan,0,4.9
1965,Feb,0,5.1
1965,Mar,0.0010672358591249575,4.7
1965,Apr,0.0031914893617020976,4.8
1965,May,0.002123142250530816,4.6
1965,Jun,0.005279831045406547,4.6
1965,Jul,0.0010548523206750455,4.4
1965,Aug,-0.0021141649048626093,4.4
1965,Sep,0.002109704641350241,4.3
1965,Oct,0.0010537407797682667,4.2
1965,Nov,0.0021030494216612897,4.1
1965,Dec,0.0031446540880504335,4
1966,Jan,0,4
1966,Feb,0.0062499999999999405,3.8
1966,Mar,0.0031152647975077586,3.8
1966,Apr,0.004136504653567794,3.8
1966,May,0.0010330578512396107,3.9
1966,Jun,0.003089598352214183,3.8
1966,Jul,0.0030800821355237303,3.8
1966,Aug,0.005107252298263534,3.8
1966,Sep,0.0020387359836899965,3.7
1966,Oct,0.004060913705583814,3.7
1966,Nov,0,3.6
1966,Dec,0.0010141987829614028,3.8
1967,Jan,0,3.9
1967,Feb,0.0010131712259372698,3.8
1967,Mar,0.0020222446916077132,3.8
1967,Apr,0.002018163471241056,3.8
1967,May,0.003018108651911583,3.8
1967,Jun,0.003009027081243703,3.9
1967,Jul,0.00499001996007984,3.8
1967,Aug,0.0029850746268656435,3.8
1967,Sep,0.001986097318768648,3.8
1967,Oct,0.002970297029702942,4
1967,Nov,0.0029615004935833874,3.9
1967,Dec,0.0029527559055117832,3.8
1968,Jan,0.003921568627451036,3.7
1968,Feb,0.002932551319648066,3.8
1968,Mar,0.0048638132295719845,3.7
1968,Apr,0.0029097963142579743,3.5
1968,May,0.0029013539651838623,3.5
1968,Jun,0.005769230769230715,3.7
1968,Jul,0.004784688995215311,3.7
1968,Aug,0.0028625954198473014,3.5
1968,Sep,0.0028544243577544926,3.4
1968,Oct,0.005676442762535558,3.4
1968,Nov,0.0037700282752119838,3.4
1968,Dec,0.0028195488721805577,3.4
1969,Jan,0.0028116213683223724,3.4
1969,Feb,0.0037348272642389493,3.4
1969,Mar,0.008333333333333385,3.4
1969,Apr,0.006439742410303614,3.4
1969,May,0.0027522935779816255,3.4
1969,Jun,0.006381039197812241,3.5
1969,Jul,0.004537205081669692,3.5
1969,Aug,0.004516711833785004,3.5
1969,Sep,0.0044964028776978415,3.7
1969,Oct,0.0035842293906809273,3.7
1969,Nov,0.0053475935828877766,3.5
1969,Dec,0.006200177147918537,3.5
1970,Jan,0.0035304501323918046,3.9
1970,Feb,0.005267778753292436,4.2
1970,Mar,0.005240174672489033,4.4
1970,Apr,0.006076388888888913,4.6
1970,May,0.004321521175453759,4.8
1970,Jun,0.005159071367153863,4.9
1970,Jul,0.0034275921165381807,5
1970,Aug,0.0017108639863131123,5.1
1970,Sep,0.005106382978723356,5.4
1970,Oct,0.00508044030482637,5.5
1970,Nov,0.0033755274261603853,5.9
1970,Dec,0.005037783375314814,6.1
1971,Jan,8.389261744967158e-4,5.9
