sowid	cg	nba	parity	nbd	sire	dam	farm	yearmo
985120012461128	62200301	11	3	0	C63LX1597	C60LW6506	62	200301
985120012461128	62200305	14	4	1	C63LX1597	C60LW6506	62	200305
985120012461128	62200310	11	5	1	C63LX1597	C60LW6506	62	200310
985120020497976	62200411	7	1	1	C63LY12126	985120012461128	62	200411
985120020497976	62200504	5	2	1	C63LY12126	985120012461128	62	200504
985120020497976	62200509	10	3	0	C63LY12126	985120012461128	62	200509
985120020498784	62200410	9	1	1	C40LA11098	985120023252599	62	200410
985120020498784	62200504	5	2	3	C40LA11098	985120023252599	62	200504
985120020521459	62200410	13	1	0	C63LA2051	985120011590145	62	200410
985120020521459	62200502	16	2	0	C63LA2051	985120011590145	62	200502
985120020521459	62200507	15	3	0	C63LA2051	985120011590145	62	200507
985120020521459	62200512	11	4	0	C63LA2051	985120011590145	62	200512
985120020523365	62200411	9	1	0	C40LA11101	985120026513239	62	200411
985120020546074	62200411	9	1	0	C62LA2746	985120011545841	62	200411
985120020546196	62200501	9	1	0	C40LA11101	985120012125009	62	200501
985120020546324	62200412	9	1	5	C40LA11195	985120012456999	62	200412
985120020546342	62200411	9	1	2	C63LY12313	985120011595685	62	200411
985120020546342	62200504	12	2	3	C63LY12313	985120011595685	62	200504
985120020546342	62200508	12	3	0	C63LY12313	985120011595685	62	200508
985120020547601	62200409	0	1	1	C60LY12297	985120012451969	62	200409
985120020548461	62200410	16	1	1	C63LY12126	985120012461128	62	200410
985120020548461	62200502	13	2	0	C63LY12126	985120012461128	62	200502
985120020548461	62200507	12	3	0	C63LY12126	985120012461128	62	200507
985120020548461	62200511	11	4	0	C63LY12126	985120012461128	62	200511
985120020548495	62200409	9	1	0	C63LY12126	985120012454239	62	200409
985120020548617	62200501	9	1	2	C62LA2746	985120011545841	62	200501
985120020548626	62200412	13	1	2	C40LA11101	985120011550216	62	200412
985120020549095	62200412	8	1	0	C40LY52753	985120012186380	62	200412
985120020550979	62200501	10	1	0	C62LA2746	985120012076420	62	200501
985120020550979	62200506	12	2	0	C62LA2746	985120012076420	62	200506
